,n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,emissions
96,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,NeuMF,general,0.0035905433098524
97,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,Pop,general,6.933852880450669e-05
98,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,Pop,general,0.0014751778143381
99,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,Random,general,0.0001122812597241
100,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,Random,general,0.0024164937124193
101,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,RecVAE,general,0.0014463850040022
102,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,RecVAE,general,0.0467017271934774
103,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,RippleNet,knowledge,0.0030824563466909
104,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,SGL,general,0.0051321715977396
105,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,SLIMElastic,general,0.0678963525649027
106,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,SimpleX,general,0.0007219202109157
107,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,SimpleX,general,0.0241743645213969
108,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,12,64.0,1.0,SpectralCF,general,0.0020217110024444
109,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,16.0,0.0,SpectralCF,general,0.0617854455913234
110,22155,54458,1465871,0.9987850390735068,26315,16,96476,11446,4,27.40581512451172,1.0,SpectralCF,general,0.0188609790246724
111,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,BPR,general,7.977085378336526e-05
112,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,BPR,general,0.0026787795477819
113,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,BPR,general,0.0041618573394687
114,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,CDAE,general,8.848146536599675e-05
115,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,CDAE,general,0.003052179671739
116,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,DGCF,general,0.0092049387136031
117,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,DMF,general,0.0007617200296219
118,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,DMF,general,0.0423661550989419
119,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,DMF,general,0.0064116293833459
120,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,DiffRec,general,0.0001443762335306
121,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,DiffRec,general,0.0088677873473297
122,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,EASE,general,1.9577037621992577e-05
123,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,ENMF,general,0.0001376672416609
124,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,FISM,general,0.0020990279270939
125,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,FISM,general,0.0074694619856663
126,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,GCMC,general,0.0177156633666317
127,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,ItemKNN,general,3.871514623914284e-05
128,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,ItemKNN,general,0.0011261784382112
129,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,ItemKNN,general,0.0018450154117831
130,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,LDiffRec,general,0.0001472767564398
131,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,LDiffRec,general,0.0072798900224974
132,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,LINE,general,0.0001047998193887
133,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,LINE,general,0.0027685675433214
134,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,LINE,general,0.0042534107400712
135,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,LightGCN,general,0.0003404822486658
136,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,LightGCN,general,0.0064174894137765
137,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,MacridVAE,general,0.0006371669267299
138,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,MultiDAE,general,0.0001548144648119
139,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,MultiDAE,general,0.0057552831381271
140,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,27.40581512451172,1.0,MultiDAE,general,0.0048342699904592
141,23679,4414,1048575,0.9899676237184808,0,0,0,0,12,64.0,1.0,MultiVAE,general,0.0001265961846357
142,23679,4414,1048575,0.9899676237184808,0,0,0,0,4,16.0,0.0,MultiVAE,general,0.0072346505720953
